From	To
Q8IYW5	RNF168
Q9GZS1	POLR1E
P19388	POLR2E
Q13084	MRPL28
P08922	ROS1
Q9NYK5	MRPL39
Q92736	RYR2
Q969S0	SLC35B4
Q495N2	SLC36A3
Q8IXU6	SLC35F2
Q8TBE7	SLC35G2
P82912	MRPS11
Q86VW1	SLC22A16
Q9H015	SLC22A4
Q9BSK2	SLC25A33
P08579	SNRPB2
Q96EL2	MRPS24
Q13950	RUNX2
P51398	DAP3
Q96C34	RUNDC1
Q86VL8	SLC47A2
Q9NTJ5	SACM1L
Q8TE82	SH3TC1
O75711	SCRG1
Q9UJQ4	SALL4
Q15436	SEC23A
Q12765	SCRN1
A0A286YFG1	SCYGR8
Q9HB31	SEBOX
Q9C0A6	SETD5
O75533	SF3B1
Q9BWJ5	SF3B5
Q96KW9	SPACA7
Q15772	SPEG
Q13530	SERINC3
P0DTA3	SPDYE11
Q8NBT2	SPC24
Q9UMY4	SNX12
Q12824	SMARCB1
Q8WV41	SNX33
Q9BUR4	WRAP53
Q86UG4	SLCO6A1
P09012	SNRPA
Q9H0A9	SPATC1L
Q8NHU3	SGMS2
P41225	SOX3
P15907	ST6GAL1
Q14159	SPIDR
Q9Y5B9	SUPT16H
Q99865	SPIN2A
O95863	SNAI1
Q562F6	SGO2
Q16586	SGCA
Q8N196	SIX5
Q9BRG2	SH2D3A
Q9H668	STN1
Q6IMI4	SULT6B1
Q6ZMT1	STAC2
Q8WU08	STK32A
Q8WTU2	SSC4D
A6NGB0	TMEM191C
P59551	TAS2R60
Q2M2D7	TBC1D28
Q9NUY8	TBC1D23
O95455	TGDS
Q9Y5Q9	GTF3C3
P01033	TIMP1
P29401	TKT
O14746	TERT
Q9ULW0	TPX2
Q495A1	TIGIT
Q969K7	TMEM54
Q15633	TARBP2
O00300	TNFRSF11B
Q7Z4G4	TRMT11
P15090	FABP4
P41161	ETV5
Q86XD5	FAM131B
P12104	FABP2
A6NDY2	FAM90A10P
Q9P2D6	FAM135A
Q9BZE7	C22orf23
Q8N9Y4	FAM181A
O75844	ZMPSTE24
A6NFU0	FAM187A
A6NGS2	ERICH4
Q8N0U4	FAM185A
P78312	FAM193A
O94905	ERLIN2
Q9Y5M1	FAM215A
Q8NEG4	FAM83F
Q8NHP7	EXD1
A6ND36	FAM83G
F5H4B4	FAM227A
Q96GI7	FAM89A
Q9UBU6	FAM8A1
Q86YB8	ERO1B
A6NKX1	FAM223B
H3BQW9	FAM229A
Q9H0X4	FAM234A
A2RU67	FAM234B
B1AK53	ESPN
O15083	ERC2
P13804	ETFA
Q8TE67	EPS8L3
Q5NDL2	EOGT
Q9UBC2	EPS15L1
P19447	ERCC3
Q96J88	EPSTI1
B3EWF7	EPM2A
Q6UW88	EPGN
Q5XG92	CES4A
Q96RU3	FNBP1
P06744	GPI
P11413	G6PD
Q9BT04	FUZ
P22083	FUT4
Q2WGN9	GAB4
O60861	GAS7
Q13069	GAGE5
P51570	GALK1
Q9BRQ8	AIFM2
Q86SF2	GALNT7
Q10472	GALNT1
A0A1B0GV03	GOLGA6L7
P0CL81	GAGE12G
P23378	GLDC
Q9UJ14	GGT7
Q16445	GABRA6
